"sample","bix","sample","b","t","a","m","c","sample","fi","sample","fi"
"B1S27SPB05No05",0.562751334853286,"B1S27SPB05No05",376.325417292643,1230.78892294085,11708.4653573902,8641.64845733682,10239.1719090638,"B1S27SPB05No05",1.06286583575591,"B1S27SPB05No05",1.06286583575591
"B1S28SP 2800 20190402",0.725171446761343,"B1S28SP 2800 20190402",1073.58184966631,1260.70065570122,1653.77736084489,1190.67728737995,1112.20847586033,"B1S28SP 2800 20190402",1.17394575809244,"B1S28SP 2800 20190402",1.17394575809244
"B1S29SP 1000 20190403",0.555449898214468,"B1S29SP 1000 20190403",335.154796283859,1097.74990289635,11939.8037569262,8918.07445106865,10039.5153328601,"B1S29SP 1000 20190403",1.08790377045517,"B1S29SP 1000 20190403",1.08790377045517
"B1S2SPB04No21halfconc",0.66778540864514,"B1S2SPB04No21halfconc",376.065592122588,707.864066388749,2981.53383560991,2022.10534065892,1993.8546322094,"B1S2SPB04No21halfconc",1.17770573317303,"B1S2SPB04No21halfconc",1.17770573317303
"B1S30SP 2500 20190402",0.695488056877041,"B1S30SP 2500 20190402",705.228015328394,885.470934096418,1963.04478703323,1388.2582556979,1365.08707090039,"B1S30SP 2500 20190402",1.18120129633126,"B1S30SP 2500 20190402",1.18120129633126
"B1S31SP 1500 20190403",0.598116003090335,"B1S31SP 1500 20190403",415.464246337418,1228.31258833618,10668.6870486026,7860.43767953361,8249.6070135794,"B1S31SP 1500 20190403",1.09846095947496,"B1S31SP 1500 20190403",1.09846095947496
"B1S32SP 2700 20190402",0.915547377062294,"B1S32SP 2700 20190402",1580.17972201307,1627.62849630258,444.80716314225,323.059637187922,286.476050992111,"B1S32SP 2700 20190402",1.43043457708831,"B1S32SP 2700 20190402",1.43043457708831
"B1S33SP 0700 20190403",0.555839431471066,"B1S33SP 0700 20190403",362.40938565923,1116.09675619449,10808.5859697467,7958.4601185685,9089.9751336698,"B1S33SP 0700 20190403",1.03909609609473,"B1S33SP 0700 20190403",1.03909609609473
"B1S3SPB04No16",0.517191161176668,"B1S3SPB04No16",69.9681025899599,314.426493568462,3477.62038896987,4318.25492668786,7327.00271171029,"B1S3SPB04No16",1.09638020198882,"B1S3SPB04No16",1.09638020198882
"B1S4SPB04No15",0.5805633055076,"B1S4SPB04No15",137.505738556392,469.260951744858,4222.58853723144,3778.82178160688,5420.44456287654,"B1S4SPB04No15",1.11573036300166,"B1S4SPB04No15",1.11573036300166
"B1S5SPB04No02",0.666993465784116,"B1S5SPB04No02",210.329169983092,431.027336310741,2699.429419833,1919.36704055243,1954.3184489421,"B1S5SPB04No02",1.16369361611214,"B1S5SPB04No02",1.16369361611214
"B1S6SPB04No24",0.645379085440666,"B1S6SPB04No24",320.393569593749,660.862337303952,3510.61759497547,2692.34353941097,2745.6972754334,"B1S6SPB04No24",1.17798252151063,"B1S6SPB04No24",1.17798252151063
"B1S7SPB04No25",0.688562336808256,"B1S7SPB04No25",179.914240032866,378.919947388582,1926.5766875853,1326.07751888933,1308.64704943536,"B1S7SPB04No25",1.17991494809519,"B1S7SPB04No25",1.17991494809519
"B1S8SPB04No22",1.00997805677645,"B1S8SPB04No22",118.738911836238,139.781829522806,202.78126990491,144.288915379555,129.57246051688,"B1S8SPB04No22",1.3766165229434,"B1S8SPB04No22",1.3766165229434
"B1S9SPB04No23",0.653622831497504,"B1S9SPB04No23",341.547379477497,1148.92255020631,9488.79603519803,8496.94451837684,13350.9893406616,"B1S9SPB04No23",1.22242707045829,"B1S9SPB04No23",1.22242707045829
